ministry,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality
기획재정부,0.23529411764705882,0.1764705882352941,0.1764705882352941,0.22270742358078605,0.044117647058823525,0.4043316065540676
과학기술정보통신부,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.23947677343618984,0.29411764705882354,0.43455875228887475
행정안전부,0.3529411764705882,0.11764705882352941,0.3529411764705882,0.24032312352743182,0.4154411764705882,0.4656941240754107
산업통상자원부,0.23529411764705882,0.1764705882352941,0.11764705882352941,0.23170533830926496,0.3529411764705882,0.3230570371778131
교육부,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.1986644407345576,0.025735294117647058,0.32612829110651015
보건복지부,0.23529411764705882,0.11764705882352941,0.11764705882352941,0.18331193838254173,0.22058823529411764,0.21973833659554207
중소벤처기업부,0.11764705882352941,0.11764705882352941,0.0,0.1959385290889133,0.0,0.22172001370101418
외교부,0.1764705882352941,0.11764705882352941,0.058823529411764705,0.17020262216924908,0.3235294117647059,0.023123599557270974
국방부,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.14180734856007945,0.11764705882352941,0.007759973342697038
통일부,0.058823529411764705,0.0,0.058823529411764705,0.1343367826904986,0.0,0.006176771504917325
법무부,0.058823529411764705,0.058823529411764705,0.0,0.11600324939073925,0.0,0.00207288325773582
국토교통부,0.1764705882352941,0.11764705882352941,0.11764705882352941,0.20825433863205484,0.11029411764705882,0.19929179421631132
문화체육관광부,0.1764705882352941,0.058823529411764705,0.11764705882352941,0.17944207087207842,0.0,0.2351434451896858
농림축산식품부,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.18916412769903299,0.08088235294117647,0.03838480347449241
해양수산부,0.1764705882352941,0.058823529411764705,0.11764705882352941,0.2128166915052161,0.41911764705882354,0.08560388412580351
고용노동부,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.14934114202049778,0.0,0.08781290170429656
여성가족부,0.11764705882352941,0.11764705882352941,0.0,0.1382381413359148,0.0,0.07237179205642295
환경부,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.19540229885057472,0.08823529411764705,0.07236149817865925
