ministry,degree_centrality,in_degree_centrality,out_degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,influence_score
행정안전부,0.3529411764705882,0.1176470588235294,0.3529411764705882,0.2403231235274318,0.4154411764705882,0.4656941240754107,0.3829934501634037
과학기술정보통신부,0.2352941176470588,0.1176470588235294,0.1176470588235294,0.2394767734361898,0.2941176470588235,0.4345587522888747,0.3135570980209592
산업통상자원부,0.2352941176470588,0.1764705882352941,0.1176470588235294,0.2317053383092649,0.3529411764705882,0.3230570371778131,0.2961993552857851
해양수산부,0.1764705882352941,0.0588235294117647,0.1176470588235294,0.2128166915052161,0.4191176470588235,0.0856038841258035,0.22927391530349012
기획재정부,0.2352941176470588,0.1764705882352941,0.1764705882352941,0.222707423580786,0.0441176470588235,0.4043316065540676,0.2261350843294363
보건복지부,0.2352941176470588,0.1176470588235294,0.1176470588235294,0.1833119383825417,0.2205882352941176,0.219738336595542,0.21581918277281797
교육부,0.2352941176470588,0.1176470588235294,0.1176470588235294,0.1986644407345576,0.025735294117647,0.3261282911065101,0.1923507872435704
외교부,0.1764705882352941,0.1176470588235294,0.0588235294117647,0.170202622169249,0.3235294117647059,0.0231235995572709,0.17333054547750165
국토교통부,0.1764705882352941,0.1176470588235294,0.1176470588235294,0.2082543386320548,0.1102941176470588,0.1992917942163113,0.16982075893248083
문화체육관광부,0.1764705882352941,0.0588235294117647,0.1176470588235294,0.1794420708720784,0.0,0.2351434451896858,0.1417255653783802
중소벤처기업부,0.1176470588235294,0.1176470588235294,0.0,0.1959385290889133,0.0,0.2217200137010141,0.12923312169279277
환경부,0.1176470588235294,0.0588235294117647,0.0588235294117647,0.1954022988505747,0.088235294117647,0.0723614981786592,0.11078890922371268
농림축산식품부,0.1176470588235294,0.0588235294117647,0.0588235294117647,0.1891641276990329,0.0808823529411764,0.0383848034744924,0.0971423842292131
국방부,0.1176470588235294,0.0588235294117647,0.0588235294117647,0.1418073485600794,0.1176470588235294,0.007759973342697,0.08951299112658968
고용노동부,0.1176470588235294,0.0588235294117647,0.0588235294117647,0.1493411420204977,0.0,0.0878129017042965,0.07974151068009437
여성가족부,0.1176470588235294,0.1176470588235294,0.0,0.1382381413359148,0.0,0.0723717920564229,0.07288857764881572
통일부,0.0588235294117647,0.0,0.0588235294117647,0.1343367826904986,0.0,0.0061767715049173,0.04048509387192785
법무부,0.0588235294117647,0.0588235294117647,0.0,0.1160032493907392,0.0,0.0020728832577358,0.035587220737821515
