지역,처치효과,사전_MSPE
서울 (실제),-3.1784618287482176,0.12705110048190282
광주,-0.04330305399123517,0.18364864821917898
부산,0.19994815965548512,0.32576786547518555
대구,-0.19588840835956275,0.31298423934232183
대전,-0.17476213287886608,0.22863522012688625
울산,-0.40709651740544645,0.3442419341988567
인천,0.050070511245358065,0.3145963808522223
세종,-1.2434684111543994,0.3947018869176
제주,-0.6026030750786113,0.43541321595717175
수원,-0.23975249735210724,0.1066565991425519
성남,0.4799475038481624,0.10850965249331249
고양,0.3656993614133647,0.34660809681622917
용인,1.4865497826351415,0.5414223602683497
창원,0.49295108097122975,0.37232001462332875
김해,-0.5826152937403769,0.3456610341955074
전주,1.6585404614225603,2.283530460828744
천안,-2.074316725560646,2.9743506788965086
청주,-0.10789136140364661,0.2893297085101333
포항,-0.3547821620702599,0.12479857660187128
안산,-0.23181281397988868,0.223556704945785
강릉,0.2000015504321439,0.3704891248921646
