period,treated,synthetic,gap
0,19.262584984687177,19.33957917281826,-0.07699418813108494
1,19.99281805026655,20.11800718319979,-0.1251891329332402
2,20.497728890323586,20.557955436565468,-0.06022654624188206
3,21.46046322818538,21.114036274222034,0.3464269539633449
4,20.27254040954992,20.720368762921414,-0.44782835337149507
5,20.465663944872137,20.338911049547484,0.12675289532465328
6,20.027552470907228,19.67595966402792,0.3515928068793066
7,18.4476982121252,18.859645356450553,-0.41194714432535307
8,17.918736800619687,18.221867217496467,-0.30313041687677966
9,18.948655056130157,18.901280305726928,0.047374750403228916
10,18.765353326321183,18.791958724670728,-0.02660539834954534
11,19.17005850987254,19.149862620973323,0.02019588889921664
12,19.565638882436193,19.753686043388566,-0.1880471609523724
13,20.61047840877619,20.542412928511254,0.06806548026493431
14,21.17315258470298,21.162441431956136,0.010711152746843311
15,21.15424060891622,20.92137954349824,0.23286106541797835
16,21.149630933594807,21.108302576117286,0.041328357477521394
17,20.63120073655949,20.89480289124634,-0.26360215468685055
18,20.823374209080406,20.74444313628498,0.07893107279542733
19,20.21310261380541,19.75253531423003,0.4605672995753807
20,15.304209461768416,18.947565149522177,-3.643355687753761
21,15.987431091381225,18.750592731932528,-2.763161640551303
22,16.007191178485257,18.95527766063549,-2.948086482150231
23,16.706238053282405,20.19474611109537,-3.4885080578129646
24,17.30319174775393,20.344963388000398,-3.0417716402464663
25,17.702368257313353,20.647238196207304,-2.9448699388939517
26,17.460762163857446,21.19641063896654,-3.7356484751090946
27,18.511628990598126,21.476104738100062,-2.964475747501936
28,17.67447838010008,21.562955241662863,-3.8884768615627827
29,18.255463961755748,21.362027638998057,-3.1065636772423098
