period,treated,synthetic,gap
0,19.262584984687177,19.339579157963477,-0.07699417327630087
1,19.99281805026655,20.11800716657919,-0.12518911631264018
2,20.497728890323586,20.55795541885503,-0.0602265285314445
3,21.46046322818538,21.114036232987353,0.34642699519802633
4,20.27254040954992,20.720368781207256,-0.44782837165733724
5,20.465663944872137,20.338911050734534,0.12675289413760282
6,20.027552470907228,19.675959671146853,0.3515927997603754
7,18.4476982121252,18.859645307458635,-0.411947095333435
8,17.918736800619687,18.221867222996423,-0.3031304223767357
9,18.948655056130157,18.901280284362194,0.0473747717679629
10,18.765353326321183,18.791958698134025,-0.026605371812841838
11,19.17005850987254,19.149862681425688,0.02019582844685175
12,19.565638882436193,19.753686027823377,-0.18804714538718414
13,20.61047840877619,20.542412977683565,0.06806543109262364
14,21.17315258470298,21.162441457206572,0.010711127496406903
15,21.15424060891622,20.921379532597495,0.23286107631872355
16,21.149630933594807,21.108302605280013,0.04132832831479405
17,20.63120073655949,20.89480282364552,-0.2636020870860314
18,20.823374209080406,20.744443085525177,0.07893112355522902
19,20.21310261380541,19.75253526083627,0.4605673529691394
20,15.304209461768416,18.947565167348856,-3.64335570558044
21,15.987431091381225,18.7505927287344,-2.763161637353175
22,16.007191178485257,18.95527763733038,-2.948086458845122
23,16.706238053282405,20.194746146033303,-3.488508092750898
24,17.303191747753935,20.344963331846458,-3.0417715840925226
25,17.702368257313353,20.647238177698945,-2.9448699203855924
26,17.460762163857446,21.196410691267634,-3.735648527410188
27,18.511628990598126,21.47610474110424,-2.9644757505061143
28,17.67447838010008,21.562955164638275,-3.888476784538195
29,18.25546396175575,21.36202759610426,-3.1065636343485075
