income,training,education,age
533.1410493871153,0,12.9963209507789,45.18108982626694
821.8908237573513,1,17.60571445127933,48.90044191574117
511.5375608765018,0,15.85595153449124,32.51403696377497
636.9334805776178,0,14.789267873576293,43.746222988209965
608.1353627316412,1,11.248149123539491,42.152379494312456
578.2371104328803,0,11.247956162689622,49.98491130364813
547.2747217238434,0,10.464668897345597,52.18261181443782
634.2332228624667,1,16.92940916619948,25.364703144321606
693.335309076503,0,14.80892009394567,45.220597571763776
700.6807045138758,1,15.664580622368364,26.55507397359187
432.99321806467674,0,10.16467595436642,41.46575995232068
496.9217681341695,0,17.759278817295954,33.628981871310344
541.5021094700596,0,16.659541126403376,34.203297985664236
475.87661497260723,0,11.69871288542621,35.5887551035707
507.86759290630016,0,11.454599737656805,43.63877347148831
462.18323028140327,0,11.46723607882747,35.02149897006308
749.0960963854772,1,12.433937943676302,46.98097151770841
504.99674486435447,0,14.198051453057904,37.13582156721609
386.23698440292657,0,13.455560149136925,27.050596009298758
713.0157665212187,1,12.329833121584336,48.512795274523214
595.6622362907434,1,14.894823157779037,33.57274973778118
498.3768139867482,0,11.115950885216336,37.98300638797788
472.7822958000655,0,12.337157188281745,45.563316496657045
693.8497679608192,1,12.930894746349534,34.973684714461356
733.7328711365074,1,13.648559873736287,26.69756968440147
693.6274162671997,1,16.28140769114411,36.217631410384406
587.0240392270964,0,11.597390257266877,53.333457480829104
712.0606907759463,1,14.113875507308894,44.252031918956746
644.1826117467731,0,14.73931655089634,45.14437446001621
653.2104939294807,1,10.371603301759983,43.9684646091292
473.7900254591873,0,14.860358815211507,30.969764168783104
517.4748651314446,0,11.364192989498331,37.5500159230684
478.6012865297504,0,10.520412743882236,47.52819395089955
694.7906290614937,1,17.591084298026665,28.041186926594776
727.5791897432955,1,17.725056264596475,33.33558328269137
733.6524151664498,1,16.46717878493169,33.289573253975604
567.5443623465527,0,12.436910153386965,37.96056782783518
428.2494530925838,0,10.781376912051071,54.41106222826555
703.4167316699934,1,15.473864212097254,27.025076400514656
555.7465684757078,0,13.52121994991681,40.561029831417855
465.45983831206223,0,10.97630587875823,30.380940460366315
821.3077821166162,1,13.961415280890161,54.12029636229232
435.6066714713718,0,10.275108168921747,28.399105141823927
745.6213192178473,1,17.274563216630256,37.10803007084774
552.0797237777838,0,12.070239852800135,47.136549545038186
572.8782633925154,0,15.300178274831856,46.13663284082336
668.0449966947117,1,12.493688608715289,37.68185910681797
544.4025396364009,0,14.160544169422487,35.395725038581546
493.76393293011967,0,14.373682234746237,36.92837135658612
440.40854074637446,0,11.478835644204217,32.92828789475918
720.3716776566974,1,17.75667702211647,31.159988161203994
629.1429695919542,0,16.201062586888916,39.4911909267667
587.3618254547794,1,17.515991532513514,33.05601268202822
765.2843581740642,1,17.15861880342119,33.6238499469175
557.5696338800514,0,14.78319983048868,44.70268190423671
699.5399919925849,1,17.374993880184935,54.05611995099677
505.4327872533742,0,10.707940016415357,43.10911601678126
479.23369511772097,0,11.567862899353162,27.30938401194899
466.7117614840006,0,10.361818311284305,27.26750841562201
417.0763264154453,0,12.602642646106116,53.54269662536698
566.7169164831198,0,13.109418317515857,33.91872370922001
428.96107732604827,0,12.170792254191166,27.762009582474263
794.7106836818873,1,16.629900073215435,42.97133761451145
560.992478283469,0,12.854026613548715,43.709463348707985
662.7049722083876,1,12.247476077499046,44.45514460356064
547.2127101037461,0,14.341568665265989,33.022060835726236
423.99620653065637,0,11.127393799798101,25.45332052643425
673.8220279063869,1,16.417575846032317,53.95046108363415
