region,period,policy,eligible,age,gender,parent_income,college,education,income
1,0,0,1,24,0,2994.8622318102152,1,16.813841269260557,5379.879195613325
1,0,0,1,21,1,2721.6419168496695,0,12.52968910815015,4443.846179875755
1,0,0,1,28,1,2368.147017349668,0,14.055415740645133,5445.634334208519
1,0,0,1,25,0,4678.377623481193,0,13.803012443766917,5929.572294737963
1,0,0,1,22,0,2393.0235965920388,0,11.20207841129618,5807.175051499933
1,0,0,1,24,1,5991.798741005554,0,13.23685930659742,6472.284022809847
1,0,0,1,27,0,1951.1097503744686,1,15.675639466594413,5448.25655675202
1,0,0,1,20,0,1333.7482101850974,1,16.30445666157339,3715.0368943162966
1,0,0,1,24,0,5838.214080600149,0,13.720091280167027,6361.115955310954
1,0,0,0,28,0,6434.729639574587,0,11.241784261941419,6108.399953114768
1,0,0,1,28,1,3556.590955077343,0,12.05594021799708,5259.812492470953
1,0,0,1,25,1,4309.3061821010415,1,14.052588888344786,6101.011742903964
1,0,0,0,22,1,6416.40455756377,1,16.887932544798414,5494.058035345827
1,0,0,1,21,1,4015.813298346684,1,18.0,3953.2926947761025
1,0,0,1,25,0,3702.9536950716088,1,16.573256371578715,4847.872436312103
1,0,0,1,25,0,2045.381151665044,1,17.36811541804971,2573.316344130902
1,0,0,1,20,1,3250.0264590260194,0,13.14195061021011,5191.927128333061
1,0,0,1,23,1,1914.5853481195195,1,15.293398333278832,4964.966124774079
1,0,0,0,22,0,6457.859386668806,0,12.324201395363731,6313.929366725437
1,0,0,1,19,1,1418.5941154216503,1,16.493903903833427,5685.677986424469
1,0,0,0,25,1,7492.376937754179,1,14.833588848004817,5365.058852076216
1,0,0,1,29,0,3810.720906179367,0,13.444661901637874,4669.408622298281
1,0,0,1,23,1,3913.42806988894,0,11.495305226777763,3992.3634968472793
1,0,0,0,19,0,6462.9261179066625,1,15.783177257906186,7852.701918190271
1,0,0,1,29,0,2896.8961415942877,1,15.736355720255588,5582.377922885999
1,0,0,1,22,1,3485.969038960578,0,12.037483430441515,4462.483640244312
1,0,0,1,18,0,5392.210898888791,1,18.0,6226.76715043044
1,0,0,1,29,1,5636.069255533359,1,15.393464499337043,4174.4454471553545
1,0,0,1,27,0,3672.5772699452077,0,10.454141030214021,4573.031233434756
1,0,0,1,23,1,3819.303733536357,0,12.163605909617788,4003.858727759493
1,0,0,0,29,1,6692.7302280789945,1,15.136994152389484,4848.879725007823
1,0,0,1,26,1,3236.700886792262,1,15.591380094282478,5150.947596091306
1,0,0,1,18,0,3306.127131370368,0,12.619834038878093,4835.137154021462
1,0,0,1,28,0,4531.544202561912,0,10.912447729589163,3934.477920517216
1,0,0,1,28,1,3321.4236376262243,1,15.635895791111519,5158.1312243278235
1,0,0,1,27,0,3384.3899928388846,1,16.292972882202168,5887.994855436798
1,0,0,1,29,1,4652.633211887469,0,11.221652590358875,5588.656716728921
1,0,0,1,29,1,5133.211757037022,1,15.960430161156204,5616.26525818577
1,0,0,1,20,0,2412.777499469272,0,12.292418547435114,5026.100753019435
1,0,0,1,29,1,3789.4106126720308,0,11.883680284134886,4745.153819565832
1,0,0,1,24,0,5770.180100982217,1,16.156926501253945,7397.28628346442
1,0,0,1,21,1,4617.97462056256,0,12.35683364758586,5434.593495188613
1,0,0,1,26,0,3961.979733556478,1,15.326760101867057,4975.608225907648
1,0,0,1,20,1,4462.252555015792,1,14.531817508913022,4646.398253195165
1,0,0,1,22,1,2084.600401928835,0,10.964436648456575,4724.4287604007295
1,0,0,1,20,0,3269.082815991945,0,10.801830038986255,4106.047199193558
1,0,0,1,24,1,2505.1581206901055,1,17.232453907977817,3441.6785930163664
1,0,0,1,22,1,3945.0633404439086,1,14.26398742392318,5430.964445539813
1,0,0,0,26,0,6362.160322633828,1,16.628098263547443,5817.375463559893
1,0,0,1,24,1,2375.1560636675204,1,15.315439090023279,5843.894497989131
1,0,0,1,19,0,3643.1929318681086,0,13.03537996152016,4992.429104961626
1,0,0,1,21,1,2667.4076091080733,0,11.577933048490808,5099.547855751763
1,0,0,1,26,0,2287.5606452853876,0,12.03097552656903,7453.661050454268
1,0,0,1,29,1,4268.5639490853855,1,16.517375879179507,7261.241258182115
1,0,0,1,19,1,2157.6307637312193,1,17.25425678468015,4805.409653853787
1,0,0,1,27,1,4384.170503055753,1,15.429897384736595,6071.6028138828215
1,0,0,1,26,0,4598.3838201373255,1,15.383555724412492,5924.2781584304485
1,0,0,1,27,0,2737.8302708345013,1,16.511367931362482,6025.570509114587
1,0,0,1,22,0,3783.028816737725,1,14.412997008301845,3710.181843181595
1,0,0,0,19,0,7741.949637316157,1,14.282462312499112,6887.542957911798
1,0,0,1,21,1,1363.521567719536,0,12.36696952332327,2240.4043254726157
1,0,0,1,29,1,3244.9436638611182,1,16.669217486933526,5718.732670026505
1,0,0,0,29,0,6983.467250653779,0,12.333820404413276,3942.050048097166
1,0,0,1,24,0,4466.360764254814,0,11.90232906251993,4440.9000452107075
1,0,0,1,29,0,5031.675737816288,0,11.461552404753274,5642.520319127088
1,0,0,0,25,1,6280.499551515648,0,13.587558891755954,6444.888435845191
1,0,0,1,20,0,5599.431294093182,0,13.717687813280042,6460.19023876698
1,0,0,1,18,0,4354.609478388799,0,12.107614964885759,4678.824421133016
1,0,0,1,21,1,4901.195855163728,1,15.31626880395329,6411.03530189031
1,0,0,1,19,1,2465.2283416598802,0,10.990891178634477,4210.381818393532
1,0,0,1,25,0,3335.8324898373144,0,12.431185420035451,4394.6689484043745
1,0,0,0,21,1,6355.852061194166,1,14.771512562348915,5911.788223247953
1,0,0,0,19,0,6458.9068908178715,0,10.794663606680189,4117.046571121649
1,0,0,1,23,1,3932.4689662939286,1,15.51574977956174,5229.1497417464125
1,0,0,1,23,0,3606.005376897788,0,12.507185588376172,4585.068699356263
1,0,0,1,27,0,2461.8807443405763,1,17.468731198320903,4159.409858736877
1,0,0,1,21,0,4835.829196286626,0,12.250800815646054,5446.2867919198925
1,0,0,1,23,0,1372.0628790873445,0,12.496623311969447,4870.416272458708
1,0,0,1,19,1,2526.5935678690294,0,12.982650247112382,5678.160927795683
1,0,0,1,27,1,4290.940172659268,0,12.889413560413983,3316.162700068656
1,0,0,1,29,1,4034.0905103521686,1,15.448058733576067,4911.0704956833215
1,0,0,1,19,1,3662.4277531706807,0,12.87118152859049,5827.589078834754
1,0,0,1,27,0,3393.5286409338105,1,17.031796661485025,6491.760939979861
1,0,0,1,21,0,1672.6024683917944,0,12.310720923334229,5346.33680692126
1,0,0,0,25,1,6421.148900980919,1,16.136476607912005,7520.932203794425
1,0,0,1,24,1,2669.30655302071,1,16.599444524826897,4596.034830302632
1,0,0,1,29,1,4125.025751898585,0,12.49500574575415,4357.801650452294
1,0,0,0,26,1,6754.859263203815,1,14.136996052469158,6652.530647070994
1,0,0,1,25,1,5250.88965795164,1,16.428844548412528,6486.548993419278
1,0,0,0,22,0,7034.669008975112,0,13.179103870133982,5498.944372186285
1,0,0,1,19,0,2644.2193346244558,0,12.98867479957482,4644.384876817732
1,0,0,1,22,0,3086.9979848466182,1,16.377149838625286,4498.199975355316
1,0,0,1,25,1,5807.181886073227,0,12.148052137585399,6860.153257208361
1,0,0,1,27,1,3507.684502300169,1,15.603124287166448,7647.768493325945
1,0,0,1,26,1,2370.134808200558,0,11.88549086753197,5826.217935314781
1,0,0,0,29,1,7245.064211462499,1,16.72735210958168,7086.647719935218
1,0,0,1,29,0,2918.1205542314083,0,12.384561101416747,5849.759094355714
1,0,0,1,29,0,3992.0832157165637,1,16.90374093695741,6451.2755172808975
1,0,0,1,26,1,3684.891592856489,1,15.480704974735069,3628.535673120622
1,0,0,1,18,0,4144.923311622377,0,13.083604799206478,4509.2322329515655
1,0,0,1,26,0,2663.592123039952,0,11.38155406227871,5718.915156882362
1,0,0,1,24,1,1351.7978079936163,0,12.20278186838077,3725.7526137489594
1,0,0,1,26,1,4458.810311827689,0,11.438102169794437,5139.723166574268
1,0,0,1,25,1,4484.719423435887,0,11.90155619193011,6165.816011431814
1,0,0,1,18,1,1821.4105244379034,1,18.0,6366.5178796799055
1,0,0,1,29,1,3157.152675400865,1,16.509355930534525,6702.748400927946
1,0,0,1,25,1,1826.9297157896617,1,16.225187897568404,5548.820005318131
1,0,0,1,25,0,5167.176195864317,1,17.41196200594966,7025.355218290519
1,0,0,1,28,0,1879.826518620379,0,9.435292194850108,4365.594199103983
1,0,0,1,20,1,4530.655050389947,1,15.841190875630993,7119.453461978867
1,0,0,1,18,0,4824.165633481318,1,15.500293151513961,3786.5248879195724
