age,income,education,experience,assets,gender,region,industry,education_level,occupation,treatment,outcome
44.96714153011233,15715.627249730847,11.409519185105198,25.329459628540956,9109.436138058745,여성,경기,서비스,고졸,사무직,0,46.42015453111905
38.61735698828815,20490.992219679618,13.906389533182749,17.449105787629826,34286.706227552895,여성,지방,제조,대졸,사무직,0,54.49729533984327
46.47688538100692,14820.846848626641,14.05405061613334,24.538714397725094,41669.65636428763,여성,경기,기타,대졸,관리직,1,59.88886724487615
55.23029856408026,18883.036062767096,15.417891037530216,32.71641588906776,28210.872047523357,남성,경기,기타,대졸,사무직,1,63.03014309875898
37.658466252766644,8545.778236904704,9.89942491015752,21.330740721186746,17624.011223629674,남성,경기,서비스,고졸,사무직,1,49.43983483564252
37.6586304305082,24505.352784920222,15.777701821541992,17.555237581628973,60027.00577849612,여성,지방,제조,대졸,사무직,0,55.269159027724804
55.79212815507391,22039.745977554187,5.886825105191674,43.26298497247083,54213.65803295324,남성,지방,IT,고졸,관리직,1,54.079857758235775
47.67434729152909,14639.164035225105,12.110346342908569,26.392749535081332,26324.147783636516,남성,경기,IT,대졸,사무직,0,59.11595985535477
35.30525614065048,30626.558434707167,12.535178472645367,19.050213360995432,81003.56769244194,남성,서울,서비스,대졸,기술직,1,54.71153005927928
45.42560043585965,35199.426499065565,15.899980478213715,21.85143969041586,52040.42432628686,남성,서울,기타,대졸,관리직,0,55.26552122792998
35.365823071875376,9859.78919761115,14.067892558030607,15.18048965963551,26835.713996619274,남성,지방,기타,대졸,관리직,0,46.86046877168411
35.34270246429743,15042.542173548873,9.78331083843114,20.452464639747713,16555.339291117267,남성,지방,IT,고졸,기타,0,45.51375895087135
42.41962271566034,14994.351239213773,11.045020622548954,25.77382292991695,18001.333693124638,남성,경기,IT,고졸,기술직,1,61.7635935262367
20.86719755342202,13767.258083868654,14.596040028642221,2.45951661982275,8711.942399243944,여성,서울,서비스,대졸,사무직,0,49.07873494101223
22.750821674869673,33347.47782227502,13.76279797440633,3.9460299872488602,83000.35803588403,여성,지방,IT,대졸,사무직,0,53.241369125299045
34.37712470759027,19991.989166314353,12.26262767109276,14.391877877103294,30840.403994454486,남성,지방,서비스,대졸,기술직,0,45.48871378218613
