age,income,health,family_size,region,treatment,satisfaction,CATE_true
73,56.279982965804166,32.02201014937484,2,1,0,85.91086249727955,26.786000851709794
62,99.4188606470973,54.30669644434697,3,0,0,87.07017890599303,22.42905696764513
88,213.42289287601477,66.06588735886227,2,0,1,119.88661078167081,21.928855356199264
62,104.1881484392763,64.25460057651384,4,0,1,104.23032905111388,22.19059257803618
66,73.84701587304335,78.16379960767605,4,1,1,113.44871176029623,24.507649206347836
77,101.40966237997995,23.823452032986978,2,0,0,72.62256615245363,25.329516881001002
79,78.00830974487728,72.55936104723816,2,1,1,110.24189617820771,26.899584512756135
70,89.46530897173005,37.84689897778452,2,0,0,75.84774761567883,24.526734551413497
87,93.57091952514104,68.65436120422315,6,0,1,115.56911865200756,27.721454023742954
85,43.23317309968028,20.79980859591504,3,1,0,81.15402883927001,29.838341345015987
82,83.19775462840336,59.80085697178655,1,1,1,106.89955507414125,27.240112268579836
61,133.58901807057225,56.149266289045876,4,0,0,93.983691407864,20.52054909647139
60,31.452675683403598,35.00672415945342,1,1,0,73.60604165983041,25.42736621582982
77,72.51541653111543,59.162342530005915,2,1,1,113.66652744447383,26.774229173444226
75,91.58409611131607,20.79668634021145,3,1,0,79.08235314206914,25.420795194434195
69,64.807449066804,85.09411261127534,3,0,1,109.63990339741802,25.5596275466598
60,41.75168121424821,62.23694020802123,3,0,1,108.14603466178112,24.91241593928759
74,50.43090437347345,82.30605078459607,4,1,1,106.61695065724678,27.278454781326328
60,29.9155566357087,24.30135061343106,4,0,0,82.21173291825917,25.504222168214564
75,74.89748793544332,62.41123140033512,2,2,1,118.00940757845031,26.25512560322783
85,89.6360683192932,21.20760970197801,1,0,0,85.67021519208816,27.51819658403534
79,43.273580004356624,82.514700281934,3,0,1,116.25555934206939,28.63632099978217
74,77.53762102026228,64.82944701608905,2,0,1,111.81767181857951,25.923118948986886
89,30.08653091414095,17.69174297204879,3,0,1,113.89572946820216,31.29567345429295
64,27.81091785226505,86.5913502950269,2,1,1,112.58020284337117,26.409454107386747
60,97.00199132059446,75.8295526876289,1,2,1,109.55933837734024,22.149900433970277
76,59.5921771540339,42.208685125261255,1,0,0,79.17159903744874,27.220391142298308
64,76.28049358506127,84.57774171317394,4,1,0,86.602785407928,23.985975320746938
77,41.4589004794118,73.5243604449218,4,0,1,115.92626352569238,28.32705497602941
83,121.21907328727242,96.74988732010354,5,2,1,124.9989830034161,25.539046335636378
63,35.58846402474592,76.37633101925691,2,1,0,91.00031174526633,25.820576798762705
