score,treat,outcome
32.23242535974817,0,29.81077434006847
48.552804902234804,0,54.477236031613074
47.742361237568105,0,47.061033100059426
46.60103497131884,0,42.741406192591754
49.02555289819566,0,55.590474102339215
52.24628030898791,1,60.59573985435186
48.72400591434264,0,53.06959462219361
39.25594757244741,0,45.777154211536484
54.132570728276484,1,73.41185637331955
33.430340079759404,0,37.63256890921662
32.5719616130843,0,39.38086070001388
56.28303420496333,1,59.46422962123317
54.309672313150536,1,62.28815692183035
49.512139396870694,0,53.75072076102323
38.13868770958189,0,43.29638941806252
43.98275700427036,0,58.01320633209779
47.76665264466472,0,58.28834404329865
36.43490126712003,0,43.399678974975274
43.71825640680252,0,41.298261810315985
55.54480787450178,1,60.266911682402
62.13209559645834,1,75.53639934982947
46.434804602402316,0,51.72491890274206
56.43015101168684,1,66.54369148379486
33.730489400006526,0,44.88236349876206
55.6053355494657,1,62.61581941722651
43.16643847481641,0,46.67255777531709
52.61243774201775,1,50.492755576726374
47.89410444496247,0,56.40192395139702
61.22351908316259,1,61.05247537951845
42.567296989110694,0,50.21099377618894
55.33465352927556,1,56.61054102920323
47.624186561979464,0,52.42218930592942
48.65440343691786,0,54.29914064126935
48.43724190814672,0,55.09817798231089
42.81177861180004,0,45.26701092410884
49.88015878979329,0,59.71552277961175
49.467490111964516,0,52.28858592548063
52.0505421114572,1,53.233687561537316
50.718293738389335,1,58.74732867511333
56.78295367170401,1,62.433183159522294
57.849823236402635,1,63.429807775832856
41.06970176446369,0,53.538000620948225
57.384566255021554,1,61.628314038822126
39.916140369566236,0,46.43325762257216
54.99677504917075,1,57.033190233519285
55.26777966997439,1,64.85972840672474
33.75380642086871,0,39.88643755555262
50.790323595499984,1,57.544960899897305
46.017783036437315,0,44.72252516709524
43.55049530754931,0,56.14986714725576
61.482244810941545,1,59.51791858984293
44.44372730458194,0,48.752274764046945
43.145796102496575,0,51.455148409578086
50.643406990043296,1,54.35373606765442
55.82751284353654,1,55.87202089800554
48.79598701891392,0,45.75918447460765
59.91414963818864,1,66.60535483243663
54.51329312669477,1,59.02765114707108
31.48520378228284,0,47.28482286936529
45.49953081019043,0,47.97290812653793
45.22434215551056,0,48.052238587690596
54.07456810415009,1,58.72796060704495
27.689055020820046,0,29.566345894324446
71.66658252410065,1,67.9231130832022
54.513721806600785,1,63.657937243870926
51.26545283330037,1,55.581910806580375
60.04332558956274,1,58.25312968211229
69.92105944890731,1,61.519869939903685
57.401346479001425,1,53.687534890029426
58.06491132000877,1,60.813310980336624
51.11086520794725,1,58.204772968322835
48.79703109638094,0,51.7298931064389
45.95573872595834,0,57.26865161723842
42.97804807042639,0,54.78621401524117
44.160380152554275,0,49.54592983704483
38.52027430308464,0,38.20329592641086
49.3550926691773,0,52.339862477064166
35.68032559357571,0,39.46496701811013
51.62279045522154,1,57.06776945893574
49.691189831640095,0,52.02239310294661
51.24895003628684,1,56.873094399689776
45.56188165483007,0,50.45180053832975
76.15331314653427,1,70.59426468885565
61.56098515153266,1,65.29763515916073
39.421388749279856,0,47.82379246406582
51.979378743128635,1,56.25015533779901
44.83194778503275,0,56.51378237690766
41.376922322986985,0,44.46994704316819
38.609387395446554,0,39.00929562177678
53.67384187145366,1,62.30975382834136
44.20826800190862,0,47.65502647935024
58.22652120421424,1,64.24431142819506
58.44714882350873,1,53.444670334837525
61.67827227429732,1,70.08740979838623
42.75471248837012,0,52.364420504591166
54.040607690882084,1,54.97054527217226
55.375860841459556,1,55.714590678723724
45.9694855116163,0,58.99434126901206
43.43993836216056,0,47.32777308613613
63.68092565909577,1,62.10461397586139
51.93371494372246,1,50.80354711255249
55.405725881049776,1,60.240977337403145
43.01235389946262,0,48.99353231999471
39.636082034561355,0,49.475861336828494
45.15967691681706,0,46.09136021872448
48.94581820718503,0,48.269088510844966
40.95412994205253,0,49.7788103626211
49.91631912647174,0,58.97660643047521
35.64770590141775,0,35.53598628743347
40.479596909006084,0,51.82278786061021
55.70274561035344,1,61.936725491497306
55.1322194223621,1,65.87904836561108
46.66904749421163,0,52.53563951512486
41.3490033728459,0,38.27397503351929
41.26706981202891,0,47.675406914803034
46.82721990949883,0,57.16993976930534
55.47840717898498,1,58.10407762004927
57.89008837642676,1,61.25398351842854
45.77948024840326,0,51.458372720607194
40.195314379129336,0,35.60588387280886
52.27667092186383,1,66.73954465263623
42.99995274968028,0,46.2879555346969
45.59485256967978,0,54.04603175713766
61.26484676871482,1,63.983388275879086
57.03048114280903,1,67.44110006833914
51.34278165413734,1,61.164058103304995
39.18868849054186,0,45.18841202471064
51.7968708235006,1,56.21853177130262
59.03258697169397,1,66.51561424768452
46.80711384099295,0,45.421310284276956
61.48446976488708,1,67.01320870155985
60.98833496090476,1,59.809054431945064
64.14172907321952,1,70.66843617477895
52.5945665755165,1,60.86969450037059
54.9928294483511,1,64.02049904166117
62.020591950814264,1,65.00134646132128
53.80284846508629,1,53.84277359577537
45.739510083783195,0,48.68984505605671
46.18738588951318,0,55.15623835922453
52.02771710707678,1,60.58574760169367
39.03022791345714,0,50.67702917844763
48.782299219404365,0,55.859333055494545
59.32065050495716,1,59.58732839917883
31.374342265095112,0,32.205860716800004
63.04309786525338,1,65.5551538210804
59.54018085897685,1,54.29685651192123
46.09200076544095,0,59.090038754376046
54.61882203691038,1,63.02754527176889
50.02675567870378,1,63.68418106699936
60.4549181317288,1,57.64234446881019
58.3528067135445,1,67.99478904244637
38.099398852944425,0,53.818563141855634
54.9917305144455,1,56.159954691117214
48.252163244032396,0,56.98841136377516
50.70407684940385,1,59.179624539213414
43.81053884175657,0,44.41538910789602
64.8591650875271,1,67.97552622942813
58.840525469171894,1,66.57186989260335
43.71194510622978,0,48.10525264222949
38.65580984126302,0,50.19684662576094
46.72178263668829,0,46.187200294485315
53.6932724917761,1,54.8175235854453
52.041749673542895,1,60.47316402407211
60.651629010530066,1,64.15491251410253
56.714317638537246,1,59.397413349014236
58.24133671889971,1,66.2042595856071
52.77827090518872,1,62.445480405397994
38.19096079320658,0,48.4319262795276
48.336562485251335,0,53.46558499819276
59.010762789223655,1,65.72468029811476
49.56205510754051,0,52.951712918491936
54.27626813330185,1,69.30583752575296
47.29063932040787,0,50.00414676806313
41.24659928739432,0,56.684467289841564
48.95157545560806,0,54.493432940345635
52.62690326577756,1,54.73965272129062
44.42665438457773,0,56.575817176353546
47.996454418718315,0,54.23724397014331
42.01456244311915,0,52.40212111607632
59.51358179929481,1,68.4364779399315
47.497126060501714,0,54.74829270935795
62.348422133572555,1,62.45430245647947
62.99435672959772,1,69.02373799806495
49.31110929986518,0,54.58240559022007
41.42818577334753,0,51.18329144404179
32.26986803926663,0,28.24483415589691
37.48768487927227,0,45.952715649376245
38.32240398836139,0,42.59739038281995
61.71699183342279,1,71.14841577204736
50.98450899142904,1,61.82899303868619
53.3116384547819,1,61.56006910288103
31.12642142405143,0,36.91641601754633
39.817285351653275,0,42.81338161851583
57.54017809979344,1,69.13866505558528
52.437579955251984,1,68.10614450770562
48.74875513117242,0,55.796443432001844
54.80116004810104,1,67.71187933699522
63.90428135215443,1,63.27009110009836
48.12113905993507,0,50.62796109376164
50.58964332259359,1,59.272372303127106
51.63707380921609,1,61.444001966776284
70.33293189982894,1,67.38549352136722
32.15547175243828,0,38.82685650836479
55.80739562570487,1,63.06203730373898
49.024180885547956,0,50.40653348732754
54.81755967256553,1,63.433479740419436
44.412333291044845,0,54.545953537181695
49.58379723770317,0,55.43352119358581
56.046989925456714,1,66.56085244127281
76.45973670887265,1,68.52692641388686
56.86830760991761,1,64.20718308077596
42.79144241674068,0,45.02700285909414
46.398042702807025,0,48.16452267264119
46.145980078737246,0,49.912439885209324
34.737033032644874,0,36.8017903202291
47.19423337053778,0,50.99542789634784
56.22904719548483,1,61.17965836031623
39.16902698784724,0,49.45509389801608
58.91210253393004,1,61.985166210753434
54.14608597921688,1,54.68293399524573
43.75901676324618,0,55.109890619138284
48.7969980826283,0,50.907259610543065
63.58573536494878,1,65.16175099864275
56.23515641479986,1,63.82528487904459
50.074661066634256,1,59.60315490755927
47.979691805831635,0,58.09918550497249
50.651177098839106,1,61.06049641850184
45.65000975749042,0,48.619775148510435
32.10962920138837,0,45.31600165662134
67.3585122395452,1,68.04788762649981
51.32026249319491,1,58.937800863855514
53.38425175354156,1,64.49383553366762
49.507784126046275,0,55.698780486188106
43.751507193841,0,52.14018013117686
48.41964191193545,0,63.981084669065865
36.405144521348355,0,41.71399832366999
69.35523523345309,1,67.10819936674345
39.50664801340963,0,46.940932536654664
41.228286587298975,0,52.531430571352814
46.2577967627156,0,46.492277594590156
60.94864366124521,1,56.325092935631005
50.12332649373256,1,56.48530761026057
39.49284573374107,0,39.92401479927686
60.66187606643739,1,62.35866381710381
56.21350532767659,1,64.03893166895566
54.576697136339845,1,57.67676258507039
56.083741049952145,1,56.26034516879097
70.35207615495084,1,69.25047552537609
68.57330660780696,1,71.3832377292636
44.16291958447199,0,44.10734631456932
63.80302243889479,1,68.77979120883714
53.25692961295065,1,63.84154281298477
54.24231443717087,1,64.88994555228443
35.615697931031704,0,46.65160279155732
48.55172099420034,0,62.90610672262511
43.090999482139196,0,48.549319061676215
57.038499926593126,1,62.852624394720934
59.104184253423846,1,61.690769741317396
32.36686601636136,0,37.02280340169264
49.8127036559637,0,61.0185861321457
59.53582279075114,1,58.17101231419281
48.41322882033572,0,50.5639733417135
56.1970409825201,1,67.52989204591275
52.98490647483021,1,64.51074217341043
52.904111971597324,1,58.93567904664407
47.69382268641947,0,56.94799216055909
39.65906316484647,0,48.00337274039476
40.46699374688727,0,53.48495029718255
56.0294963728702,1,62.24001444866294
50.165395171910504,1,62.961357487432274
48.82264592083859,0,64.8400267529458
46.39693464026001,0,55.01243856319902
47.40589481341361,0,53.53118046343144
58.89875025314919,1,66.15355778393246
47.150425304121775,0,51.69576122897253
38.600949936936665,0,55.02277881443372
56.32104009209147,1,62.79985529826887
48.258548357149905,0,52.81526531602978
50.2668648570286,1,55.57630414399576
63.66441560439584,1,69.82247056799392
49.82523526252069,0,58.363429999226724
52.45806122150916,1,58.162214155517496
39.979150323964234,0,49.28390017485064
48.132809655016835,0,47.789911037384606
55.18097138427311,1,62.27536318377582
36.77932326234944,0,45.10142842307824
51.70718329148353,1,66.57239986259928
50.85672411748085,1,56.18006402393352
50.350943372493234,1,53.85532970083853
58.815850638595066,1,59.64459073080121
52.84272737621243,1,55.00963212102263
62.56361113602978,1,70.26867859925927
41.55448911745069,0,54.756155822987246
51.15535882135596,1,60.71482991219319
50.71796768431455,1,64.06841327752137
40.911336803081824,0,48.46819957094777
58.12850751777644,1,62.53410435585489
69.75972309974895,1,67.28454244251444
49.85544836688744,0,53.67139011678686
54.29267925032702,1,54.90754570225618
50.71840704443028,1,60.24050703892145
43.93453030578901,0,50.535959623120476
34.52353763868286,0,43.24928417328762
44.0009253936894,0,51.12686574353931
38.16835376191028,0,44.32223628491262
64.4848676635025,1,62.338522727758296
49.021567601652464,0,54.686725217582996
47.05968570309905,0,56.04636845523498
57.55780751069635,1,58.08037442607252
40.465115625724955,0,47.83182675519893
43.4816556769613,0,51.24535466601688
50.57861428861328,1,56.229984379709364
58.74453642709958,1,60.84262674876235
