score,treat,outcome,age,female,education
54.96714153011233,1,57.12771746120184,29.84693087671056,0,14.251999687529953
48.61735698828815,0,48.026330242773504,33.774718483690265,0,16.93054223305592
56.47688538100692,1,52.69646461257117,28.984484901050656,1,15.294952208602096
65.23029856408026,1,56.14702211472809,33.297822691091696,0,12.973571425740403
47.658466252766644,0,46.676954183732015,19.734005977008046,1,14.29616675094515
47.6586304305082,0,45.45807687155052,36.58928118050891,1,13.05150967228463
65.79212815507391,1,62.77075007431066,35.799250210651486,1,14.035543024838297
57.67434729152909,1,55.76681691600242,28.84700831603093,1,13.03945931545932
45.30525614065048,0,47.071245130651576,40.03922815449176,0,13.19526710809953
55.42560043585965,1,49.66623077258355,42.77184112280545,1,14.338745391402632
45.365823071875376,0,48.16724375648661,21.90781223864198,1,11.123919712482628
45.34270246429743,0,43.67865385427893,28.665336894685158,0,11.067156981811003
52.41962271566034,1,58.36940058919262,28.967842337484633,1,10.277036069735178
30.86719755342202,0,36.33748879895054,26.524135068800184,0,9.316666189809165
32.75082167486967,0,46.294607579017296,40.773339819197474,1,10.311809702946196
44.377124707590276,0,43.29637275318564,33.168247125197084,0,13.986198761162127
39.87168879665576,0,38.35599926218797,32.3774657093479,0,11.265464987203405
53.142473325952736,1,48.534444712802326,19.12622475104361,1,15.046885627096794
40.91975924478789,0,40.00299811134281,39.62933220391321,1,13.605179556777163
35.87696298664709,0,41.62974702373658,24.379780990504575,1,8.496278726137806
64.65648768921554,1,60.36771211059103,36.21228542659141,0,15.630568714338533
47.74223699513465,0,41.62729341967439,37.10612735342227,1,15.681841353881968
50.67528204687924,1,49.04478271282406,45.91903286905317,1,11.22884895385045
35.75251813786543,0,48.475247897498704,23.817062713940373,1,14.465529219994787
44.556172754748175,0,49.484611608538394,10.571711391170808,1,11.449877861571965
51.10922589709866,1,51.1122114481534,36.526257652884496,1,13.966360459812812
38.49006422577697,0,40.721832240828675,48.82859266337568,0,10.308555267128124
53.75698018345672,1,51.299764399590266,45.09941983268833,1,9.292373472332692
43.99361310081195,0,44.81164527715502,36.3769559772376,1,12.622829287983816
47.083062502067236,0,39.53544623390845,30.92106364004698,0,13.332338884354252
43.98293387770603,0,41.32401163636021,41.15612746698379,0,12.58545944351761
68.52278184508938,1,54.81798909984206,28.137769494618716,1,11.110379241345388
49.86502775262066,0,46.52958854180708,38.804113542480785,1,12.69755289972457
39.422890710441,0,43.41898152326422,38.51490580885506,1,14.161694695660655
58.22544912103189,1,51.65655884374529,43.89295171604263,0,13.752276407114296
37.791563500289776,0,46.682188020979595,56.46685848630311,1,13.91208384650383
52.08863595004755,1,44.984879324332724,38.243759534932515,0,12.066484717865368
30.403298761202244,0,33.184456854188824,29.948455932400122,0,16.237360762014443
36.71813951101569,0,41.02095521023616,34.13131247801483,0,10.493929448833361
51.96861235869123,1,54.01145373598215,20.945823378821615,1,14.95827298989062
57.38466579995411,1,59.77337655557864,29.811528241285245,1,16.802421048398983
51.7136828118997,1,47.850671442272095,31.81142463569015,1,14.936543888110233
48.843517176117594,0,48.749856447003324,30.74946867532914,1,13.170559775860276
46.98896304410711,0,43.43111107954825,36.068287128475134,0,12.319036644224694
