score,above_cutoff,treatment,outcome,education,income
49.03346090381859,0,0,51.16889949029377,9.382116656936756,39.151982047316515
66.1278023269704,1,1,58.872795882438425,11.241274886845542,54.865191267031975
43.00755935770925,0,0,47.30928152313616,14.56654142421816,40.467973313283125
50.599628576957066,1,0,46.32112697545871,14.770080410652568,24.579420396916973
64.19844487373054,1,0,48.705756291172904,10.32878727896913,55.09928193115612
52.705134754664,1,1,47.66919564581805,14.671196961178264,52.05207765402907
33.93397264641994,0,0,37.37884729306841,12.708625977699834,54.606491053148076
55.053890117321366,1,1,48.670944194487376,14.713634612733944,42.42954238174906
38.369971422165555,0,0,34.75514007657201,11.382056495797084,39.48246343790403
64.06807528732965,1,1,60.48970577081292,14.712409251581693,56.22440983051151
41.771323950020225,0,1,42.35618169171606,14.440797267471856,67.4053672653738
79.69509507745664,1,0,60.4003185298936,13.188182981412275,53.103525621821596
64.67375988327679,1,1,57.17141430118081,13.475717888844876,56.562397140893424
42.03387430372021,0,0,38.66432465057783,11.463972970102299,45.344335217263534
50.20013805001611,1,1,54.55326689024301,16.30928203887224,31.496447542517394
57.536442816334635,1,1,47.94965436334887,12.985549405838507,62.362797311482154
57.83660474226708,1,0,49.964803425456616,11.39104949191365,61.68463134326065
54.42336259976197,1,1,51.84615212538732,11.701049050243359,58.971624562078524
62.5215903696611,1,0,51.043776773373956,13.62918891337406,49.06881377685709
48.77031053365631,0,1,42.847504813740215,14.469771659566112,57.041704250228115
46.33282331423967,0,0,46.649681864573694,10.218331009126146,60.35842390007794
46.531360120753895,0,0,46.23972274171534,16.591260809507514,69.09504023155588
58.58373231972127,1,1,50.23959204549577,13.87486255770287,62.720686487741425
53.65181040302646,1,1,53.30585403033468,14.042466258029618,51.13103574070631
52.91283665690256,1,1,51.60604907365438,12.893006012060205,34.5922446005978
57.95234249257182,1,1,47.50372266484148,13.277088209479405,52.66313382131808
29.489475921461448,0,0,31.329022302445296,12.088118001789038,51.02787634233784
53.1006882387515,1,0,51.103469898934065,15.128612585234466,58.8184261276948
52.185688888737154,1,0,47.33050918493678,13.049713491755375,66.46527120075483
66.68808081300705,1,1,54.73682862326102,15.03474286137563,50.52700193661935
34.714120177363334,0,0,33.923156523991096,11.673728558615757,73.68325829549367
65.57186632376758,1,1,54.37435796942211,13.85843704633766,30.44574239188983
50.75409128924666,1,0,43.599127525112515,11.414782050198557,55.10751159846417
54.88989530660045,1,0,44.06109552278322,15.579753324297087,40.90674482445171
66.75918787609376,1,1,50.06253748851367,11.835281154844582,28.78925479134374
55.60761268005573,1,1,56.013859485631,12.51826949187902,48.13946875241567
54.00368289462561,1,1,54.53437613775858,12.490189661929278,32.914295908411084
52.422911858023184,1,1,44.76843412178415,12.36478458039316,48.30515640940851
45.16521865005623,0,0,43.127854507282784,14.299948098387562,49.9337528421391
49.71510875489607,0,0,41.248601566588974,12.358137733173594,63.394007787521
42.84487233877251,0,1,44.026167276480116,15.57319523124532,31.19346561671
